Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
141,7.0787443,0.288721,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
142,7.0946517,0.0159074,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
143,7.095394025,0.000742325,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
144,7.1145908,0.019196775,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
145,7.6663053,0.5517145,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
146,7.678927475,0.012622175,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
147,7.679669225,0.00074175,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
148,7.6989211,0.019251875,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
149,7.82197805,0.12305695,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
150,7.833683875,0.011705825,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
151,7.8344261,0.000742225,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
152,7.8537129,0.0192868,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
153,7.96638075,0.11266785,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
154,7.9785748,0.01219405,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
155,7.979315175,0.000740374999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
156,7.99854585,0.019230675,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
157,8.117109475,0.118563625,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
158,8.13342305,0.016313575,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
159,8.13416535,0.0007423,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
160,8.153302125,0.019136775,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
161,8.267005675,0.11370355,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
162,8.28311915,0.016113475,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
163,8.283859675,0.000740525,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
164,8.303264375,0.0194047,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
165,8.418241975,0.1149776,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
166,8.43293885,0.014696875,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
167,8.4336813,0.00074245,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
168,8.452970175,0.019288875,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
169,8.5649237,0.111953525,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
170,8.577846,0.0129223,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
171,8.578588475,0.000742475,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
172,8.597821225,0.01923275,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
173,8.718426425,0.1206052,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
174,8.732623475,0.01419705,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
175,8.733367025,0.000743549999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
176,8.75255895,0.019191925,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
177,8.867842425,0.115283475,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
178,8.8828616,0.015019175,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
179,8.8836015,0.0007399,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
180,8.902378175,0.018776675,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
181,9.0246655,0.122287325,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
182,9.042750675,0.018085175,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
183,9.043491975,0.0007413,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
184,9.06221875,0.018726775,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
185,9.185592,0.12337325,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
186,9.202229725,0.016637725,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
187,9.202971975,0.00074225,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
188,9.222036875,0.0190649,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
189,9.335998425,0.11396155,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
190,9.351957875,0.01595945,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
191,9.352698075,0.000740199999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
192,9.371833175,0.0191351,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
193,9.4857266,0.113893425,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
194,9.501652775,0.015926175,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
195,9.5023924,0.000739625,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
196,9.521849125,0.019456725,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
197,9.6362968,0.114447675,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
198,9.651468,0.0151712,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
199,9.652211725,0.000743725000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
200,9.671431225,0.0192195,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
201,9.7876385,0.116207275,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
